insert into jucatori values(idseq.nextval, 1115, 'Wilson', 'Miles', 2.06, 30000);
insert into jucatori values(idseq.nextval, 1128, 'Patel', 'Asher', 1.93, 41000);
insert into jucatori values(idseq.nextval, 1128, 'Nguyen', 'Gideon', 1.86, 41000);
insert into jucatori values(idseq.nextval, 1129, 'Anderson', 'Nathan', 1.95, 46000);
insert into jucatori values(idseq.nextval, 1129, 'Brown', 'Dylan', 2.11, 42000);
insert into jucatori values(idseq.nextval, 1129, 'Smith', 'Harrison', 2.08, 47000);
insert into jucatori values(idseq.nextval, 1129, 'Davis', 'Miles', 2.05, 39000);
insert into jucatori values(idseq.nextval, 1129, 'Kim', 'Wyatt', 1.84, 46000);
insert into jucatori values(idseq.nextval, 1130, 'Taylor', 'Isaac', 1.81, 45000);
insert into jucatori values(idseq.nextval, 1130, 'Khan', 'Sebastian', 2.19, 37000);
insert into jucatori values(idseq.nextval, 1130, 'Thomas', 'Dylan', 2.0, 42000);
insert into jucatori values(idseq.nextval, 1130, 'Singh', 'Sebastian', 1.85, 40000);
insert into jucatori values(idseq.nextval, 1130, 'Nguyen', 'Asher', 1.81, 41000);
